Kehadiran_Semester_1,Kehadiran_Semester_2,Nilai_Rata_Semester_1,Nilai_Rata_Semester_2,Jumlah_Pelanggaran,Pendidikan_Ayah,Pendidikan_Ibu,Status_Keluarga,Jumlah_Saudara,Jarak_Rumah_km,Status_SPP,Penerima_Beasiswa,Penghasilan_Ortu,Tanggungan_Keluarga,Status
71,79,84.4,75.3,18,3,2,2,0,10.3,1,1,2,4,Non-Dropout
95,66,92.9,81.8,12,5,3,1,5,3.0,1,0,1,3,Non-Dropout
79,97,83.5,67.5,11,2,3,1,4,21.3,1,0,2,3,Non-Dropout
87,96,78.0,69.8,5,1,4,1,0,0.5,0,0,4,7,Non-Dropout
87,72,68.7,92.3,3,1,3,1,0,4.8,1,1,4,3,Non-Dropout
94,64,44.8,86.6,18,2,2,1,0,4.8,1,0,2,7,Dropout
57,86,92.7,90.3,15,2,2,2,1,3.1,1,0,3,1,Dropout
76,70,81.7,84.8,12,1,3,1,5,2.5,1,0,2,7,Non-Dropout
76,63,75.1,46.0,3,4,4,2,1,3.0,0,1,4,4,Dropout
83,51,81.7,48.2,16,3,2,1,4,2.7,1,0,2,6,Dropout
70,60,79.8,69.0,0,2,2,2,0,6.6,1,0,1,7,Dropout
79,88,75.0,53.5,17,5,5,1,5,0.7,1,0,1,3,Non-Dropout
82,87,93.9,66.2,19,1,4,1,5,1.1,1,0,2,4,Non-Dropout
77,83,89.7,61.7,16,5,5,1,2,1.0,0,0,2,7,Non-Dropout
96,87,75.6,70.2,14,2,4,2,4,1.5,0,1,3,7,Non-Dropout
82,99,78.1,81.1,10,5,2,1,5,3.7,1,0,3,3,Non-Dropout
54,83,42.8,79.4,12,3,3,1,0,0.6,0,0,2,5,Dropout
97,67,76.8,68.7,0,4,3,3,0,10.1,1,0,2,5,Non-Dropout
68,79,42.4,85.2,16,5,1,2,5,1.8,1,0,1,7,Dropout
53,64,72.4,63.7,5,2,3,1,1,0.9,0,1,4,5,Non-Dropout
84,76,95.0,89.3,3,5,3,2,4,5.6,1,0,4,2,Non-Dropout
98,83,70.6,43.9,19,2,2,1,0,0.5,0,0,4,3,Non-Dropout
66,87,66.0,92.5,15,2,4,1,5,4.8,1,0,4,2,Non-Dropout
93,82,57.2,76.0,14,2,3,1,0,6.0,0,0,1,4,Dropout
77,73,46.6,60.9,14,3,5,3,5,1.2,0,0,1,2,Dropout
79,64,80.2,50.8,5,2,1,3,4,0.5,1,0,2,4,Non-Dropout
78,79,50.6,66.4,14,3,2,1,5,2.3,1,0,4,7,Non-Dropout
95,91,46.3,50.7,13,3,3,1,2,0.5,1,0,1,4,Non-Dropout
55,66,63.2,49.1,10,4,2,1,5,0.6,1,0,1,4,Dropout
84,54,83.7,74.0,6,4,3,3,5,1.5,1,0,3,6,Non-Dropout
90,78,81.0,68.8,8,3,4,3,4,1.8,1,1,1,2,Non-Dropout
86,53,43.0,76.9,15,2,1,1,5,3.8,1,0,2,6,Non-Dropout
73,59,65.0,91.1,4,2,3,2,4,5.7,1,1,3,7,Non-Dropout
78,66,68.7,69.3,19,2,3,2,2,4.5,1,0,2,3,Non-Dropout
98,59,75.5,72.0,9,1,2,1,4,0.8,1,0,1,2,Non-Dropout
95,66,75.8,44.9,17,2,5,1,0,0.9,1,0,3,3,Non-Dropout
80,69,60.1,79.5,2,2,4,1,4,10.6,1,0,3,3,Non-Dropout
84,73,70.8,62.0,12,5,3,1,2,4.1,1,0,4,4,Non-Dropout
82,54,66.5,93.7,10,3,3,1,3,10.2,1,1,2,2,Non-Dropout
70,83,88.7,85.3,16,2,3,1,5,2.3,1,0,1,3,Non-Dropout
81,55,69.2,68.7,12,3,5,3,4,4.8,0,0,3,5,Dropout
72,51,64.3,46.8,5,1,3,1,5,3.7,1,0,2,3,Dropout
82,62,62.2,87.3,16,3,3,1,1,1.9,0,0,2,5,Dropout
52,92,71.5,84.0,12,3,5,1,0,3.2,1,0,3,2,Non-Dropout
67,92,84.2,50.2,18,3,2,1,0,3.5,0,0,2,7,Dropout
74,97,69.6,56.2,18,3,4,1,1,1.1,1,1,2,6,Non-Dropout
91,60,76.4,83.6,9,5,2,1,1,1.9,0,1,1,2,Non-Dropout
80,96,80.6,50.2,2,5,2,1,4,7.8,0,0,2,6,Non-Dropout
52,72,68.6,90.5,13,3,2,1,1,12.4,1,0,2,6,Dropout
89,65,63.5,63.3,18,3,5,1,3,2.2,1,1,2,2,Non-Dropout
95,80,88.2,44.8,4,3,5,1,5,1.8,0,1,3,3,Non-Dropout
73,60,63.0,84.9,4,2,3,2,5,1.1,1,0,4,1,Non-Dropout
99,65,65.4,60.5,19,2,3,1,2,5.7,1,1,1,3,Non-Dropout
81,57,94.5,69.0,16,1,3,1,1,2.0,0,0,1,3,Non-Dropout
96,53,40.0,46.2,9,3,5,2,1,22.0,0,1,1,7,Dropout
71,89,50.2,40.1,4,3,3,1,3,2.0,1,0,1,4,Dropout
72,53,61.1,75.1,3,2,2,1,0,2.5,1,0,3,4,Non-Dropout
51,74,91.3,68.3,5,5,2,2,0,4.6,0,1,3,3,Dropout
76,52,43.9,72.6,3,5,4,1,5,8.1,1,0,3,5,Non-Dropout
91,81,40.5,83.7,6,3,3,1,5,3.2,1,0,2,7,Non-Dropout
51,52,42.9,75.6,6,3,2,2,4,2.7,1,0,2,6,Non-Dropout
75,76,44.9,49.6,17,5,1,2,3,27.2,1,1,2,4,Dropout
66,78,42.1,59.8,2,1,4,3,2,0.5,1,1,1,3,Dropout
89,81,66.4,89.8,0,4,1,1,2,11.3,1,0,3,7,Non-Dropout
82,99,71.9,82.3,3,1,3,1,3,0.8,1,0,4,1,Non-Dropout
58,68,54.9,70.6,5,4,5,1,2,7.7,1,1,2,5,Non-Dropout
92,70,61.9,54.1,8,2,3,1,0,4.8,1,0,3,2,Non-Dropout
97,54,45.0,56.6,13,5,2,1,2,2.1,1,0,2,3,Non-Dropout
88,67,58.5,80.3,11,5,3,1,2,10.4,0,0,1,7,Dropout
78,77,68.7,86.8,19,1,4,3,3,0.5,1,0,2,3,Non-Dropout
91,91,80.3,76.9,3,3,3,1,3,1.3,1,0,2,6,Non-Dropout
75,71,40.2,84.5,11,5,5,1,2,4.2,1,0,1,5,Dropout
84,70,65.7,82.2,9,3,1,1,1,2.2,1,0,3,4,Non-Dropout
99,55,56.3,48.2,6,5,3,1,3,4.7,1,1,4,4,Non-Dropout
74,50,86.9,63.3,2,3,3,1,4,0.5,0,0,2,4,Non-Dropout
73,54,79.4,48.4,13,2,5,1,4,0.6,1,0,2,2,Non-Dropout
62,90,72.4,52.9,9,2,2,1,0,0.7,1,0,4,7,Non-Dropout
56,61,55.2,87.8,15,2,4,1,2,1.0,0,0,3,5,Dropout
85,75,90.1,66.0,15,4,3,2,1,3.1,0,0,3,5,Dropout
94,95,42.5,69.4,9,2,2,2,0,7.0,1,1,2,4,Non-Dropout
69,83,46.0,49.8,12,3,1,1,2,11.8,0,0,4,4,Dropout
50,98,61.5,57.2,5,3,5,1,3,9.0,0,1,1,6,Dropout
57,63,46.8,52.7,11,3,2,2,4,1.1,1,0,3,1,Dropout
95,75,92.6,51.3,8,5,2,2,5,2.9,1,0,1,1,Non-Dropout
65,94,83.9,75.1,12,5,2,1,1,1.1,1,0,3,3,Non-Dropout
63,76,54.2,54.1,3,3,5,2,5,1.5,1,1,2,3,Non-Dropout
61,58,72.4,74.8,10,4,3,1,4,3.5,0,1,2,5,Dropout
72,75,94.0,43.2,19,4,4,2,5,0.5,1,0,2,5,Dropout
64,96,88.6,47.8,17,3,2,3,3,1.2,1,0,1,2,Dropout
77,71,73.0,55.1,10,5,3,1,2,13.7,1,0,3,2,Non-Dropout
83,96,89.7,72.8,3,2,3,2,3,3.1,1,0,4,1,Non-Dropout
51,79,94.4,77.2,17,1,4,1,5,2.9,1,0,4,3,Non-Dropout
81,92,80.9,64.3,0,5,5,3,3,0.5,1,1,1,1,Non-Dropout
72,97,43.6,64.5,6,3,1,1,4,1.4,1,1,3,1,Non-Dropout
71,66,62.1,79.8,5,4,3,2,1,10.1,1,0,3,3,Non-Dropout
74,75,86.1,40.9,14,5,1,1,3,0.9,1,1,2,7,Dropout
71,85,52.7,58.8,17,1,3,1,4,2.7,1,0,1,2,Dropout
71,50,85.7,85.0,10,5,2,1,1,0.5,1,0,3,6,Non-Dropout
98,57,46.6,73.2,19,3,2,3,2,3.3,1,0,4,6,Non-Dropout
91,98,42.6,58.5,14,3,2,2,5,0.5,1,0,3,6,Dropout
55,84,61.1,89.8,15,3,3,2,2,8.6,1,1,2,3,Non-Dropout
64,64,42.0,82.5,6,5,2,3,0,8.7,1,0,2,4,Dropout
92,96,92.6,54.6,9,1,3,1,4,7.7,1,0,1,4,Non-Dropout
86,71,85.4,75.5,11,3,3,1,1,1.7,1,0,3,4,Non-Dropout
82,63,84.0,72.8,13,3,1,1,3,9.1,1,0,3,5,Non-Dropout
57,75,74.6,62.1,4,3,4,1,2,3.9,1,0,1,2,Non-Dropout
93,77,51.9,60.2,17,3,2,1,1,2.3,1,0,4,2,Non-Dropout
93,72,68.5,58.9,4,1,3,1,4,4.9,1,0,2,7,Non-Dropout
54,63,72.9,73.9,2,2,3,1,0,0.5,1,1,4,7,Non-Dropout
88,73,68.9,64.3,4,2,2,1,2,0.8,1,1,2,5,Non-Dropout
53,51,54.3,85.8,16,4,1,1,5,6.8,1,0,1,1,Dropout
55,94,68.3,76.8,18,2,2,1,1,1.4,0,1,2,7,Non-Dropout
94,75,67.0,43.8,18,2,5,3,5,4.6,1,0,2,6,Non-Dropout
81,63,94.8,75.2,11,5,3,2,1,2.4,1,0,1,4,Non-Dropout
79,56,89.4,54.9,8,1,3,3,1,9.6,1,0,2,6,Non-Dropout
96,52,65.5,72.6,0,5,3,1,4,15.2,1,0,2,4,Non-Dropout
84,96,74.3,77.4,17,3,2,1,4,10.8,1,0,3,6,Non-Dropout
89,72,81.1,52.7,3,4,3,2,4,1.6,1,1,1,1,Dropout
65,95,41.9,65.1,9,2,4,1,3,1.1,1,0,2,6,Non-Dropout
62,92,89.2,50.5,6,1,1,1,1,3.2,1,0,1,6,Non-Dropout
99,96,87.3,42.9,0,3,2,1,2,0.5,1,0,3,3,Non-Dropout
91,94,65.2,60.8,16,4,2,1,5,0.5,0,1,1,6,Non-Dropout
79,67,61.5,60.0,1,3,3,1,4,4.0,1,0,4,3,Non-Dropout
68,87,55.0,94.8,10,1,5,1,4,3.7,1,0,3,2,Non-Dropout
66,84,66.2,64.5,8,4,1,1,5,26.1,1,0,2,5,Non-Dropout
68,64,42.4,58.3,6,4,3,1,5,1.1,1,0,2,6,Non-Dropout
77,74,86.9,71.9,16,3,2,1,1,1.5,1,0,1,2,Non-Dropout
75,86,41.9,44.9,16,4,5,2,4,0.6,0,1,2,7,Dropout
86,77,58.1,92.9,1,4,1,1,5,12.5,1,0,4,7,Non-Dropout
75,59,91.2,74.9,5,3,3,1,3,7.5,0,0,4,3,Non-Dropout
72,88,80.4,81.5,13,1,3,2,3,8.6,1,0,1,6,Dropout
58,66,55.5,49.4,5,3,3,1,4,11.7,1,1,2,6,Dropout
61,88,53.9,62.5,1,1,3,1,5,3.7,1,0,3,1,Non-Dropout
50,71,40.3,63.2,0,3,2,1,1,3.0,1,0,3,2,Non-Dropout
50,75,78.3,85.2,9,3,2,1,1,2.0,0,1,1,4,Dropout
96,93,42.7,40.1,4,1,2,1,1,4.4,0,0,2,4,Non-Dropout
83,74,69.3,56.5,1,2,2,2,0,3.0,1,0,2,1,Non-Dropout
81,66,92.9,94.0,15,1,3,1,4,3.0,0,0,3,3,Non-Dropout
97,62,46.0,66.1,1,4,2,1,1,13.8,1,0,2,4,Non-Dropout
74,69,89.2,61.0,9,5,2,1,3,20.7,0,0,2,4,Non-Dropout
89,74,94.5,46.6,1,1,3,1,5,8.0,1,0,4,7,Non-Dropout
94,53,43.4,93.6,15,5,5,1,2,7.1,1,0,3,7,Non-Dropout
50,59,88.6,41.1,15,3,3,1,2,5.7,0,0,4,5,Dropout
65,52,68.4,80.5,18,2,1,1,1,0.9,1,0,2,2,Non-Dropout
88,90,89.9,82.3,6,1,1,1,2,0.5,1,0,1,3,Non-Dropout
54,94,71.4,53.4,11,3,5,1,2,5.9,0,0,4,6,Dropout
71,67,76.4,76.9,14,4,2,1,0,6.5,1,1,2,2,Non-Dropout
78,96,69.9,45.1,7,3,1,2,3,0.5,1,0,1,3,Non-Dropout
52,85,87.5,54.1,5,1,3,1,3,13.2,1,1,2,4,Non-Dropout
61,96,80.4,83.3,9,1,3,1,0,0.5,0,0,1,5,Non-Dropout
75,71,68.7,87.6,2,3,3,1,0,1.7,1,0,2,2,Non-Dropout
65,83,87.7,73.5,18,2,2,2,2,5.6,0,0,4,4,Dropout
86,96,53.5,67.9,16,2,1,1,4,0.9,0,0,4,3,Dropout
71,57,48.7,48.8,6,2,5,1,5,0.5,1,0,4,2,Dropout
78,89,48.8,43.5,19,4,2,2,5,2.0,1,0,1,6,Dropout
63,98,58.4,46.5,3,5,3,2,2,7.3,1,1,2,2,Dropout
77,93,53.1,52.5,13,3,3,1,5,2.7,1,0,1,4,Non-Dropout
54,68,91.2,58.8,19,5,3,1,0,5.3,0,0,4,2,Dropout
96,91,45.8,61.0,14,2,2,2,3,4.3,1,0,2,6,Non-Dropout
98,90,78.4,59.0,7,3,2,3,5,0.5,0,1,3,5,Non-Dropout
79,86,50.4,53.1,14,2,3,2,2,22.3,0,0,3,5,Dropout
95,55,88.5,68.0,19,3,5,1,4,0.5,1,0,2,4,Non-Dropout
54,75,92.9,85.4,13,5,5,1,2,17.2,1,1,2,3,Non-Dropout
61,83,65.6,55.4,8,3,1,1,1,4.0,1,0,4,4,Non-Dropout
65,94,88.3,91.8,7,2,2,2,2,16.5,0,1,4,5,Dropout
75,55,40.3,88.0,16,3,5,1,0,0.6,1,0,2,1,Dropout
75,86,85.1,48.9,1,1,3,1,3,3.4,1,0,2,1,Dropout
